Tiempo	D_NTA	Pres_NTA D_HTA	P_HTA
% [s]	[mm]	[mmHg]	[mm]	[mmHg]
0.836	6.00656	72.458	6.655	93.328
0.8382	6.00485	72.1422	6.653	92.728
0.8404	6.00311	71.8102	6.652	92.097
0.8426	6.00138	71.5094	6.651	91.526
0.8448	5.99965	71.38	6.650	91.280
0.847	5.99791	71.1798	6.649	90.900
0.8492	5.99618	70.9127	6.647	90.392
0.8514	5.99439	70.7376	6.646	90.059
0.8536	5.99259	70.4155	6.645	89.447
0.8558	5.9908	70.2992	6.644	89.227
0.858	5.989	70.1683	6.642	88.978
0.8602	5.9872	69.8434	6.641	88.360
0.8624	5.9854	69.7951	6.640	88.269
0.8646	5.98358	69.7481	6.639	88.179
0.8668	5.98176	69.68	6.637	88.050
0.869	5.97994	69.7316	6.636	88.148
0.8712	5.97812	69.703	6.635	88.094
0.8734	5.9763	69.6868	6.633	88.063
0.8756	5.97448	69.7572	6.632	88.197
0.8778	5.97272	69.8654	6.631	88.402
0.88	5.97097	69.7201	6.630	88.126
0.8822	5.96922	69.8525	6.629	88.378
0.8844	5.96747	69.9621	6.627	88.586
0.8866	5.96572	69.9508	6.626	88.565
0.8888	5.96397	70.2359	6.625	89.106
0.891	5.96239	70.2147	6.624	89.066
0.8932	5.96081	70.1124	6.623	88.872
0.8954	5.95923	70.072	6.622	88.795
0.8976	5.95766	70.0945	6.620	88.838
0.8998	5.95608	70.0578	6.619	88.768
0.902	5.95451	70.0815	6.618	88.813
0.9042	5.95318	70.0428	6.617	88.739
0.9064	5.95186	70.0835	6.616	88.817
0.9086	5.95054	69.8805	6.615	88.431
0.9108	5.94922	69.9285	6.615	88.522
0.913	5.94789	69.7952	6.614	88.269
0.9152	5.94659	69.6973	6.613	88.083
0.9174	5.94558	69.5434	6.612	87.790
0.9196	5.94458	69.3604	6.611	87.443
0.9218	5.94357	69.2717	6.611	87.274
0.924	5.94256	69.0777	6.610	86.906
0.9262	5.94155	68.8657	6.609	86.503
0.9284	5.94058	68.433	6.608	85.681
0.9306	5.93987	68.4401	6.608	85.694
0.9328	5.93916	68.1444	6.607	85.132
0.935	5.93844	67.7339	6.607	84.352
0.9372	5.93773	67.5866	6.606	84.073
0.9394	5.93702	67.3673	6.606	83.656
0.9416	5.93635	67.084	6.606	83.118
0.9438	5.93584	67.0046	6.605	82.967
0.946	5.93533	66.9698	6.605	82.901
0.9482	5.93482	66.8613	6.604	82.695
0.9504	5.93431	66.8225	6.604	82.621
0.9526	5.9338	66.8232	6.604	82.622
0.9548	5.93331	66.9117	6.603	82.790
0.957	5.93288	66.9158	6.603	82.798
0.9592	5.93245	67.1181	6.603	83.182
0.9614	5.93203	67.0581	6.602	83.068
0.9636	5.9316	67.2033	6.602	83.344
0.9658	5.93117	67.0903	6.602	83.130
0.968	5.93073	67.1559	6.602	83.254
0.9702	5.93025	67.306	6.601	83.539
0.9724	5.92978	67.4671	6.601	83.846
0.9746	5.9293	67.4349	6.601	83.784
0.9768	5.92882	67.427	6.600	83.769
0.979	5.92834	67.3063	6.600	83.540
0.9812	5.9278	67.5113	6.600	83.930
0.9834	5.92714	67.5075	6.599	83.922
0.9856	5.92649	67.4735	6.599	83.858
0.9878	5.92583	67.4091	6.598	83.735
0.99	5.92517	67.3838	6.598	83.687
0.9922	5.92452	67.3314	6.597	83.588
0.9944	5.92375	67.2791	6.597	83.488
0.9966	5.92284	67.1585	6.596	83.259
0.9988	5.92192	67.2054	6.595	83.348
1.001	5.92101	67.1328	6.595	83.210
1.0032	5.92009	67.1531	6.594	83.249
1.0054	5.91918	67.2066	6.593	83.351
1.0076	5.91811	67.3316	6.593	83.588
1.0098	5.91688	67.3499	6.592	83.623
1.012	5.91565	67.4759	6.591	83.862
1.0142	5.91442	67.6048	6.590	84.107
1.0164	5.91318	67.634	6.589	84.163
1.0186	5.91195	67.8117	6.588	84.500
1.0208	5.90971	67.7989	6.587	84.476
1.023	5.90657	68.0667	6.585	84.985
1.0252	5.90344	68.1844	6.582	85.208
1.0274	5.90031	68.2664	6.580	85.364
1.0296	5.89718	68.1934	6.578	85.225
1.0318	5.89404	68.1215	6.576	85.089
1.034	5.89285	67.9887	6.575	84.837
1.0362	5.89299	67.9195	6.575	84.705
1.0384	5.89314	67.6213	6.575	84.139
1.0406	5.89328	67.2195	6.575	83.375
1.0428	5.89343	67.0081	6.575	82.973
1.045	5.89357	66.9108	6.576	82.789
1.0472	5.89233	66.6213	6.575	82.239
1.0494	5.89035	66.3961	6.573	81.811
1.0516	5.88836	66.0914	6.572	81.232
1.0538	5.88637	65.964	6.571	80.990
1.056	5.88439	65.606	6.569	80.309
1.0582	5.8824	65.3252	6.568	79.776
1.0604	5.88037	64.8751	6.566	78.921
1.0626	5.87833	64.7323	6.565	78.649
1.0648	5.87629	64.5669	6.563	78.335
1.067	5.87425	64.3756	6.562	77.972
1.0692	5.8722	64.064	6.561	77.380
1.0714	5.87016	64.0155	6.559	77.287
1.0736	5.8616	63.8896	6.553	77.048
1.0758	5.85605	63.6678	6.549	76.627
